№	Domain	Subdomain	Ambiguity Type	English Context Sentence	Correct Russian Professional Equivalent	Linguistic Disambiguation Explanation
14	Biology	Molecular Biology	Metaphor	Messenger RNA (mRNA) carries genetic information from DNA.	Матричная РНК (мРНК) переносит генетическую информацию от ДНК.	"""Messenger"" is a metaphor emphasizing the function of information transfer. The technical term is ""matrix"" or ""template"" (in the context of mRNA, the established term is ""matrix RNA"" or ""messenger RNA"")."
15	Law	Corporate Law	Polysemy	The execution of the contract is scheduled for tomorrow.	Исполнение договора запланировано на завтра.	"In law, ""execution"" means bringing a document into legal force and its fulfillment, not ""capital punishment."" The key seme is ""putting into effect."""
16	Aviation	Air Traffic Control	Metaphor	The pilot was instructed to abort the takeoff due to a warning.	Пилот получил указание прервать взлет из-за предупреждения.	"""Abort"" is a standard term for stopping a procedure before its completion, the medical connotation (""abortion"") is irrelevant."
33	Operating Systems	Signals	Polysemy / Metaphor	"Use the command ""kill -9"" to kill the child process."	"Используйте команду ""kill -9"", чтобы завершить дочерний процесс."	"""Kill"" here means sending a termination signal, not an act of physical killing. Technically, the SIGKILL signal forcibly terminates a process."
18	Physics	Optics	Metaphor	The laser produces a coherent light beam.	Лазер генерирует когерентный световой пучок.	"""Coherent"" is a property of waves having a constant phase difference, not ""logical"" or ""connected"" (as in speech)."
35	Operating Systems	Process Lifecycle	Metaphor	A terminated child whose status hasn't been collected becomes a zombie.	Завершённый дочерний процесс, чей статус не был считан, становится зомби-процессом.	"""Zombie"" is a metaphor for the ""living dead"", the process is dead (consumes no CPU resources), but its entry remains in the process table until it is ""reaped"" by the parent process."
20	Ecology	Conservation	Polysemy	The species is considered an indicator of ecosystem health.	Этот вид считается индикаторным для здоровья экосистемы.	"In ecology, an ""indicator"" is a species sensitive to environmental changes, not a measuring instrument (""gauge""). The seme is ""reflector of state."""
21	Mathematics	Graph Theory	Metaphor	The algorithm finds a spanning tree in the connected graph.	Алгоритм находит остовное дерево в связном графе.	"""Tree"" is a metaphor for an acyclic connected graph. The connection to botany is historical, but the meaning is abstract."
43	Programming	Error Handling	Metaphor	The child crashed, leaving the parent in an inconsistent state.	Дочерний процесс упал, оставив родителя в несогласованном состоянии.	"""Crash"" is a metaphor describing the abnormal termination of a program that has failed."
23	Cybernetics / Robotics	AI	Metaphor	The perceptron is a fundamental model of a neural unit.	Персептрон — это фундаментальная модель нейронного элемента.	"""Perceptron"" is a neologism from ""perception,"" but it describes a mathematical function, not a sensory organ."
24	Geography	Cartography	Polysemy	The legend explains the symbols used on the map.	Условные обозначения объясняют символы, использованные на карте.	"In cartography, a ""legend"" is a block explaining symbols, not a ""legend"" (mythical tale). The key seme is ""explanatory text."""
25	Meteorology	Forecasting	Metaphor	A ridge of high pressure will bring sunny weather.	Гребень высокого давления принесет солнечную погоду.	"""Ridge"" is a metaphor describing an elongated area of high pressure on a map and means a crest, not a mountain range."
26	Electronics	Microelectronics	Polysemy	A flip-flop is a basic bistable multivibrator.	Триггер — это базовый бистабильный мультивибратор.	"""Flip-flop"" (slippers/sandals) is a jargon name based on switching between two states. The technical term is ""trigger"" or ""bistable multivibrator."""
27	Pharmacology	Clinical Trials	Metaphor	The arm of the study comparing two dosages was completed.	Группа исследования, сравнивающая две дозировки, была завершена.	"In trial design, an ""arm"" is a metaphor for a separate branch/group of treatment in a protocol, not a part of the body."
28	Sociology	Statistics	Polysemy	Aggregate data does not allow identifying individuals.	Агрегированные данные не позволяют идентифицировать отдельных лиц.	"""Aggregate"" is a statistical term for combined data, not ""aggregate"" in a general sense."
29	Acoustics	Architectural Physics	Metaphor	The material provides good damping of sound vibrations.	Материал обеспечивает хорошее демпфирование звуковых вибраций.	"""Damping"" is the process of suppressing oscillations, not ""moistening"" (from ""damp"" meaning wet)."
30	Cosmonautics	Flight Dynamics	Metaphor	The spacecraft performed a slingshot maneuver around Jupiter.	Космический аппарат выполнил гравитационный маневр вокруг Юпитера.	"""Slingshot"" is a metaphor describing the use of a planet's gravity for acceleration. The professional term is ""gravity assist maneuver."""
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
